threshold,precision,recall
0.322165,0.701299,0.800000
0.324870,0.705882,0.800000
0.324915,0.703947,0.792593
0.325763,0.708609,0.792593
0.329944,0.713333,0.792593
0.330498,0.711409,0.785185
0.330588,0.709459,0.777778
0.331929,0.714286,0.777778
0.332343,0.719178,0.777778
0.332589,0.724138,0.777778
0.332762,0.729167,0.777778
0.333250,0.734266,0.777778
0.333784,0.739437,0.777778
0.334144,0.744681,0.777778
0.334285,0.750000,0.777778
0.335499,0.755396,0.777778
0.336882,0.760870,0.777778
0.338623,0.766423,0.777778
0.339212,0.764706,0.770370
0.339976,0.770370,0.770370
0.341709,0.776119,0.770370
0.341875,0.781955,0.770370
0.342078,0.787879,0.770370
0.343513,0.786260,0.762963
0.343968,0.792308,0.762963
0.344093,0.798450,0.762963
0.345538,0.804688,0.762963
0.346833,0.811024,0.762963
0.350616,0.817460,0.762963
0.351933,0.816000,0.755556
0.352290,0.814516,0.748148
0.354481,0.821138,0.748148
0.355429,0.827869,0.748148
0.356509,0.834711,0.748148
0.358869,0.833333,0.740741
0.360043,0.840336,0.740741
0.360583,0.847458,0.740741
0.362164,0.854701,0.740741
0.366501,0.862069,0.740741
0.367124,0.860870,0.733333
0.367848,0.868421,0.733333
0.370985,0.876106,0.733333
0.371276,0.883929,0.733333
0.371492,0.891892,0.733333
0.374182,0.890909,0.725926
0.375352,0.889908,0.718519
0.376857,0.888889,0.711111
0.377320,0.897196,0.711111
0.378905,0.896226,0.703704
0.380024,0.904762,0.703704
0.381239,0.903846,0.696296
0.382164,0.902913,0.688889
0.388809,0.901961,0.681481
0.389153,0.900990,0.674074
0.389434,0.910000,0.674074
0.390451,0.909091,0.666667
0.390848,0.908163,0.659259
0.392896,0.907216,0.651852
0.394383,0.916667,0.651852
0.395194,0.926316,0.651852
0.395723,0.936170,0.651852
0.398752,0.946237,0.651852
0.399900,0.945652,0.644444
0.400371,0.945055,0.637037
0.401318,0.944444,0.629630
0.403346,0.943820,0.622222
0.407049,0.943182,0.614815
0.409713,0.942529,0.607407
0.410431,0.941860,0.600000
0.412596,0.941176,0.592593
0.414087,0.952381,0.592593
0.414631,0.951807,0.585185
0.416047,0.951220,0.577778
0.418129,0.950617,0.570370
0.422506,0.950000,0.562963
0.422887,0.949367,0.555556
0.424913,0.948718,0.548148
0.424941,0.948052,0.540741
0.427600,0.947368,0.533333
0.427650,0.960000,0.533333
0.428245,0.959459,0.525926
0.428580,0.958904,0.518519
0.429870,0.958333,0.511111
0.434020,0.957746,0.503704
0.434915,0.957143,0.496296
0.442424,0.956522,0.488889
0.442642,0.955882,0.481481
0.443413,0.955224,0.474074
0.443624,0.954545,0.466667
0.444949,0.953846,0.459259
0.445555,0.953125,0.451852
0.452212,0.952381,0.444444
0.456292,0.951613,0.437037
0.457403,0.950820,0.429630
0.474467,0.966667,0.429630
0.478266,0.966102,0.422222
0.479370,0.965517,0.414815
0.481061,0.964912,0.407407
0.485481,0.964286,0.400000
0.487164,0.963636,0.392593
0.488712,0.962963,0.385185
0.489223,0.962264,0.377778
0.492094,0.961538,0.370370
0.502134,0.960784,0.362963
0.503795,0.960000,0.355556
0.503871,0.959184,0.348148
0.507666,0.979167,0.348148
0.509858,0.978723,0.340741
0.510783,0.978261,0.333333
0.519122,0.977778,0.325926
0.519812,0.977273,0.318519
0.525201,0.976744,0.311111
0.526309,0.976190,0.303704
0.526484,0.975610,0.296296
0.529087,0.975000,0.288889
0.531653,0.974359,0.281481
0.531680,0.973684,0.274074
0.534832,0.972973,0.266667
0.542981,0.972222,0.259259
0.550104,0.971429,0.251852
0.550413,0.970588,0.244444
0.554984,0.969697,0.237037
0.555138,0.968750,0.229630
0.564553,0.967742,0.222222
0.567220,0.966667,0.214815
0.567951,0.965517,0.207407
0.570150,0.964286,0.200000
0.577594,0.962963,0.192593
0.578170,0.961538,0.185185
0.580523,1.000000,0.185185
0.583792,1.000000,0.177778
0.589938,1.000000,0.170370
0.598397,1.000000,0.162963
0.598961,1.000000,0.155556
0.602481,1.000000,0.148148
0.613350,1.000000,0.140741
0.615422,1.000000,0.133333
0.618808,1.000000,0.125926
0.622525,1.000000,0.118519
0.622547,1.000000,0.111111
0.629088,1.000000,0.103704
0.631217,1.000000,0.096296
0.633286,1.000000,0.088889
0.634026,1.000000,0.081481
0.634131,1.000000,0.074074
0.637956,1.000000,0.066667
0.639346,1.000000,0.059259
0.640053,1.000000,0.051852
0.655939,1.000000,0.044444
0.658662,1.000000,0.037037
0.683302,1.000000,0.029630
0.720820,1.000000,0.022222
0.811957,1.000000,0.014815
0.825000,1.000000,0.007407
