model,curve,x,y,threshold
ml_only,pr,1.000000,0.234783,0.215613
ml_only,pr,1.000000,0.235192,0.215747
ml_only,pr,1.000000,0.235602,0.215753
ml_only,pr,1.000000,0.236014,0.216631
ml_only,pr,1.000000,0.236427,0.216768
ml_only,pr,1.000000,0.236842,0.216869
ml_only,pr,1.000000,0.237258,0.217021
ml_only,pr,1.000000,0.237676,0.217389
ml_only,pr,1.000000,0.238095,0.217547
ml_only,pr,1.000000,0.238516,0.218162
ml_only,pr,1.000000,0.238938,0.218303
ml_only,pr,1.000000,0.239362,0.218486
ml_only,pr,1.000000,0.239787,0.218619
ml_only,pr,1.000000,0.240214,0.218667
ml_only,pr,1.000000,0.240642,0.219043
ml_only,pr,1.000000,0.241071,0.219322
ml_only,pr,1.000000,0.241503,0.220331
ml_only,pr,1.000000,0.241935,0.220349
ml_only,pr,1.000000,0.242370,0.220503
ml_only,pr,1.000000,0.242806,0.221040
ml_only,pr,1.000000,0.243243,0.221063
ml_only,pr,1.000000,0.243682,0.221435
ml_only,pr,1.000000,0.244123,0.221784
ml_only,pr,1.000000,0.244565,0.222779
ml_only,pr,1.000000,0.245009,0.223560
ml_only,pr,1.000000,0.245455,0.223885
ml_only,pr,1.000000,0.245902,0.223957
ml_only,pr,1.000000,0.246350,0.225100
ml_only,pr,1.000000,0.246801,0.225463
